gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	direction
FKBPL	12.6439524608545	0.100829522839591	0.778283871353117	0.129553658441219	0.896919569351235	0.987809217846677	Up in AD
FLAD1	5.37169609605941	0.154046744403	1.11441660235532	0.138230841210928	0.890057981299443	0.987809217846677	Up in AD
FLG2	62.5870665600288	-0.176311756700904	1.36021892614587	-0.129620131959549	0.896866974621834	0.987809217846677	Down in AD
FO538757.2	11.796856503271	-0.12266550961849	0.907435537032645	-0.135178207831283	0.892470976563805	0.987809217846677	Down in AD
FUBP3	11.2955504156347	-0.0938196006925199	0.786278072713497	-0.119321145976693	0.905020931112463	0.987809217846677	Down in AD
GID4	16.0389216818815	0.0888816847446427	0.63544890790291	0.139872275550787	0.888760906822192	0.987809217846677	Up in AD
GINM1	8.44541646744033	0.10179929636393	0.828320977106782	0.122898368117517	0.902187577885	0.987809217846677	Up in AD
GPR157	25.0496682164391	-0.0760710853100568	0.560982807584853	-0.135603238248171	0.892134945350787	0.987809217846677	Down in AD
GTF3C6	15.6364800211368	-0.0804921887953651	0.645087246721343	-0.124777213011832	0.900699927766372	0.987809217846677	Down in AD
HBP1	35.0963788288147	0.0796839518097693	0.60829016722084	0.130996613300244	0.895777986513972	0.987809217846677	Up in AD
HDAC10	5.78221737758919	-0.155221399811529	1.22106013297562	-0.127120193035266	0.898845269385616	0.987809217846677	Down in AD
HEBP2	66.2628554702015	-0.055197276503754	0.45863321364791	-0.120351677247101	0.904204569045778	0.987809217846677	Down in AD
HTATSF1	6.47851092299718	-0.14100788321099	1.07250737746325	-0.131474977397833	0.895399579877992	0.987809217846677	Down in AD
IGBP1	9.87027040850059	0.107615651647635	0.856605707528634	0.125630322914977	0.900024558901548	0.987809217846677	Up in AD
JUNB	97.0469356797889	0.0577566139538409	0.444353657824345	0.129978932179	0.896583094959375	0.987809217846677	Up in AD
KLC1	9.59868589750177	0.134056161329969	0.977516533283346	0.137139533466194	0.890920504471897	0.987809217846677	Up in AD
KRT10	407.174260384966	-0.0416045335561007	0.323052122842438	-0.128785823136016	0.897527123603904	0.987809217846677	Down in AD
LAMTOR2	25.4759209446307	-0.0851084701194057	0.623510519335756	-0.136498852032319	0.891426932002746	0.987809217846677	Down in AD
LIPK	6.5123922909932	0.116503299488709	0.94753045296689	0.12295467562432	0.902142989159109	0.987809217846677	Up in AD
LOR	56.8524278027592	0.108338949460573	0.762768965080921	0.142033766999264	0.887053333849229	0.987809217846677	Up in AD
MAML3	7.49709988226775	0.114364890653413	0.918989709033452	0.124446323532498	0.900961897510534	0.987809217846677	Up in AD
MAPK1IP1L	16.7364338866739	-0.0818822660199506	0.651329060738901	-0.125715665023543	0.899957001354628	0.987809217846677	Down in AD
MFSD14A	8.80144945695043	0.110029100950238	0.811387642781335	0.135606084131467	0.892132695446159	0.987809217846677	Up in AD
MMAB	9.15347233674136	-0.103396855419544	0.792115554752558	-0.130532540106277	0.896145111090736	0.987809217846677	Down in AD
MPG	9.8160477422483	0.109385023370293	0.797730091455192	0.137120342509277	0.890935673345083	0.987809217846677	Up in AD
MSMO1	37.4830718522574	-0.082645910857623	0.590546695283723	-0.139948138763043	0.888700966280806	0.987809217846677	Down in AD
MTMR3	11.5717880763368	0.0992840142381368	0.755889956017954	0.131347180165175	0.895500670675567	0.987809217846677	Up in AD
MTRF1L	9.23063753245312	-0.0992292535245272	0.811703218811253	-0.122248195183763	0.902702458420963	0.987809217846677	Down in AD
MYL12B	97.1027866377551	0.0459614055479199	0.373753586624307	0.122972480245707	0.90212889011955	0.987809217846677	Up in AD
NAGK	16.4805817250962	-0.106076166451138	0.757302997817655	-0.140070971271501	0.8886039160181	0.987809217846677	Down in AD
NDUFA12	41.5156365412879	-0.0753156901297511	0.55038739368354	-0.136841234000094	0.891156290176886	0.987809217846677	Down in AD
NDUFB1	39.1835369513266	0.0629414100495466	0.49314115588057	0.127633658839843	0.898438893064243	0.987809217846677	Up in AD
NFYB	5.328447669163	-0.147468242617262	1.08278025875795	-0.136194062852995	0.891667868592931	0.987809217846677	Down in AD
NSD1	12.6851393802347	0.0890942230624778	0.73877405923755	0.120597389619266	0.904009936534832	0.987809217846677	Up in AD
NUP50	22.664360325764	-0.0743853131563413	0.622499756475901	-0.119494525712672	0.90488357681161	0.987809217846677	Down in AD
OAZ1	100.842563018163	0.0525621018715553	0.375720485710001	0.139896821894682	0.888741512357075	0.987809217846677	Up in AD
OGFRL1	7.22710507217028	-0.12600721281469	1.01625576907509	-0.123991633454018	0.901321899480021	0.987809217846677	Down in AD
PAPSS1	14.9009437185428	-0.100678917903046	0.72194160173616	-0.139455764373363	0.889090009212415	0.987809217846677	Down in AD
PCM1	6.37461643114619	0.129583352506831	0.989023788536824	0.131021471888495	0.895758321713505	0.987809217846677	Up in AD
PDAP1	18.7338448206346	-0.0929368959341111	0.653634370498222	-0.142184836246098	0.886934009019061	0.987809217846677	Down in AD
PDCD5	18.0615883496734	-0.0786947424468359	0.659342759378584	-0.119353312563869	0.904995447994082	0.987809217846677	Down in AD
PIK3C2B	16.8189646225219	-0.0930894066971764	0.682527477708942	-0.136389244004728	0.891513576263055	0.987809217846677	Down in AD
PLEC	25.7560464679382	0.0653424297056249	0.537629697091153	0.121537984339705	0.903264930532522	0.987809217846677	Up in AD
PNRC1	63.421097531764	-0.0651626442782968	0.532747788789067	-0.12231424634612	0.902650149761637	0.987809217846677	Down in AD
POU2F3	16.8739904296556	0.096982315163027	0.743283700178828	0.130478194449433	0.896188104959614	0.987809217846677	Up in AD
PTPMT1	4.73924032713906	-0.141935661788971	1.143613971575	-0.124111514301889	0.901226981555539	0.987809217846677	Down in AD
RAB5B	52.9933797510242	-0.0566758728456913	0.447629042325972	-0.12661348457462	0.899246323693522	0.987809217846677	Down in AD
RAD1	5.97385938609045	-0.146929376882237	1.03842447282216	-0.141492598381202	0.88748080685594	0.987809217846677	Down in AD
RAP2C	16.1398222710078	-0.081868954484923	0.671366281528038	-0.12194379839659	0.902943528336806	0.987809217846677	Down in AD
RBBP4	10.4104476458434	-0.102255521672482	0.82405580013867	-0.124088103809565	0.901245517143871	0.987809217846677	Down in AD
REL	28.5634679503625	0.106172303200525	0.840531927608009	0.126315610047879	0.899482100199907	0.987809217846677	Up in AD
RP11-352M15.2	6.9034062370839	-0.148556782519427	1.05215521036756	-0.141192840234599	0.887717602079746	0.987809217846677	Down in AD
